ano_lectivo,provincia,canton,parroquia,tipo_educacion,nivel_educacion,sostenimiento,area,regimen_escolar,total_docentes,total_estudiantes
2023-2024 Inicio,CAÑAR,CAÑAR,CHONTAMARCA,Ordinario,Educación Inicial y Educación General Básica,Fiscal,Rural,Costa,2,36
2023-2024 Inicio,GUAYAS,SANTA LUCIA,SANTA LUCIA,Ordinario,Educación General Básica,Fiscal,Urbana,Costa,2,51
2023-2024 Inicio,MANABI,MONTECRISTI,MONTECRISTI,Ordinario,Educación General Básica,Fiscal,Urbana,Costa,2,34
2023-2024 Inicio,AZUAY,CUENCA,MONAY,Ordinario,Educación Inicial y Educación General Básica,Fiscal,Urbana,Sierra,12,151
2023-2024 Inicio,LOS RIOS,QUEVEDO,VENUS DEL RIO QUEVEDO,Ordinario,Educación Inicial y Educación General Básica,Fiscal,Urbana,Costa,8,188
2023-2024 Inicio,LOJA,LOJA,SUCRE,Ordinario,Educación Inicial y Educación General Básica,Fiscal,Urbana,Sierra,7,71
2023-2024 Inicio,LOJA,CATAMAYO,EL TAMBO,Ordinario,Educación General Básica,Fiscal,Rural,Sierra,1,16
2023-2024 Inicio,MANABI,SANTA ANA,SANTA ANA,Ordinario,Educación General Básica,Fiscal,Urbana,Costa,32,752
2023-2024 Inicio,MANABI,BOLIVAR,CALCETA,Ordinario,Educación General Básica,Municipal,Urbana,Costa,1,9
2023-2024 Inicio,AZUAY,CUENCA,TURI,Ordinario,Educación Inicial y Educación General Básica,Fiscal,Rural,Sierra,2,24
2023-2024 Inicio,BOLIVAR,SAN MIGUEL,SAN PABLO (SAN PABLO DE ATENAS),Ordinario,Educación General Básica,Fiscal,Rural,Costa,1,5
2023-2024 Inicio,SANTO DOMINGO DE LOS TSACHILAS,SANTO DOMINGO,ALLURIQUIN,Ordinario,Educación General Básica,Fiscal,Rural,Costa,1,11
2023-2024 Inicio,MANABI,PICHINCHA,BARRAGANETE,Ordinario,Educación General Básica,Fiscal,Rural,Costa,1,20
2023-2024 Inicio,CHIMBORAZO,PALLATANGA,PALLATANGA,Ordinario,Educación General Básica,Fiscal,Urbana,Costa,1,8
2023-2024 Inicio,MORONA SANTIAGO,MORONA,SEVILLA DON BOSCO,Ordinario,Educación Inicial y Educación General Básica,Fiscal,Rural,Sierra,2,47
2023-2024 Inicio,PICHINCHA,QUITO,ITCHIMBIA,Ordinario,Educación Inicial y Educación General Básica,Fiscal,Urbana,Sierra,17,303
2023-2024 Inicio,GUAYAS,BALZAR,BALZAR,Ordinario,Educación General Básica,Fiscal,Urbana,Costa,1,20
2023-2024 Inicio,LOJA,PUYANGO,VICENTINO,Ordinario,Educación General Básica,Fiscal,Rural,Costa,1,3
2023-2024 Inicio,LOJA,LOJA,VALLE,Ordinario,Educación General Básica,Fiscal,Urbana,Sierra,3,32
2023-2024 Inicio,LOS RIOS,VENTANAS,ZAPOTAL,Ordinario,Educación General Básica,Fiscal,Rural,Costa,3,72
2023-2024 Inicio,ZAMORA CHINCHIPE,PALANDA,EL PORVENIR DEL CARMEN,Ordinario,Educación General Básica,Fiscal,Rural,Sierra,1,10
2023-2024 Inicio,CARCHI,MONTUFAR,SAN JOSE,Ordinario,Educación General Básica,Fiscal,Urbana,Sierra,1,14
2023-2024 Inicio,AZUAY,CUENCA,SUCRE,Ordinario,Educación Inicial y Educación General Básica,Fiscal,Urbana,Sierra,23,478
2023-2024 Inicio,MANABI,EL CARMEN,SAN PEDRO DE SUMA,Ordinario,Educación General Básica,Fiscal,Rural,Costa,1,10
2023-2024 Inicio,EL ORO,EL GUABO,RIO BONITO,Ordinario,Educación Inicial y Educación General Básica,Fiscal,Rural,Costa,2,39
2023-2024 Inicio,LOJA,LOJA,TAQUIL (MIGUEL RIOFRIO),Ordinario,Educación General Básica,Fiscal,Rural,Sierra,3,26
2023-2024 Inicio,EL ORO,PIÑAS,CAPIRO (CAB. EN LA CAPILLA DE CAPIRO),Ordinario,Educación Inicial y Educación General Básica,Fiscal,Rural,Costa,3,43
2023-2024 Inicio,LOJA,PINDAL,PINDAL,Ordinario,Educación General Básica,Fiscal,Urbana,Costa,1,11
2023-2024 Inicio,SANTA ELENA,SANTA ELENA,MANGLARALTO,Ordinario,Educación General Básica,Fiscal,Rural,Costa,1,16
2023-2024 Inicio,COTOPAXI,PANGUA,MORASPUNGO,Ordinario,Educación General Básica,Fiscal,Rural,Costa,1,12
2023-2024 Inicio,MANABI,CHONE,CONVENTO,Ordinario,Educación General Básica,Fiscal,Rural,Costa,1,39
2023-2024 Inicio,LOS RIOS,VINCES,VINCES CENTRAL,Ordinario,Educación Inicial y Educación General Básica,Fiscal,Urbana,Costa,14,386
2023-2024 Inicio,LOS RIOS,BABA,ISLA DE BEJUCAL,Ordinario,Educación Inicial y Educación General Básica,Fiscal,Rural,Costa,17,488
2023-2024 Inicio,MANABI,CHONE,CONVENTO,Ordinario,Educación General Básica,Fiscal,Rural,Costa,1,4
2023-2024 Inicio,GUAYAS,GENERAL ANTONIO ELIZALDE,GENERAL ANTONIO ELIZALDE (BUCAY),Ordinario,Educación General Básica,Fiscal,Urbana,Costa,2,51
2023-2024 Inicio,LOJA,SOZORANGA,SOZORANGA,Ordinario,Educación General Básica,Fiscal,Urbana,Costa,1,4
2023-2024 Inicio,LOJA,MACARA,LA VICTORIA,Ordinario,Educación General Básica,Fiscal,Rural,Costa,1,17
2023-2024 Inicio,AZUAY,CUENCA,SAN SEBASTIAN,Ordinario,Educación General Básica,Fiscal,Urbana,Sierra,12,228
2023-2024 Inicio,ESMERALDAS,QUININDE,CHURA (CHANCAMA) (CAB. EN EL YERBERO),Ordinario,Educación General Básica,Fiscal,Rural,Costa,1,25
2023-2024 Inicio,ZAMORA CHINCHIPE,CENTINELA DEL CONDOR,ZUMBI,Ordinario,Educación General Básica,Fiscal,Urbana,Sierra,1,9
2023-2024 Inicio,GUAYAS,GUAYAQUIL,FEBRES CORDERO,Ordinario,Educación General Básica,Fiscal,Urbana,Costa,10,264
2023-2024 Inicio,LOS RIOS,VENTANAS,ZAPOTAL,Ordinario,Educación General Básica,Fiscal,Rural,Costa,1,14
2023-2024 Inicio,LOS RIOS,MOCACHE,MOCACHE,Ordinario,Educación General Básica,Fiscal,Urbana,Costa,1,17
2023-2024 Inicio,GUAYAS,EL EMPALME,VELASCO IBARRA (CAB. EL EMPALME),Ordinario,Educación General Básica,Fiscal,Urbana,Costa,4,69
2023-2024 Inicio,BOLIVAR,CALUMA,CALUMA,Ordinario,Educación General Básica,Fiscal,Urbana,Costa,1,11
2023-2024 Inicio,GUAYAS,SAN JACINTO DE YAGUACHI,YAGUACHI VIEJO (CONE),Ordinario,Educación Inicial y Educación General Básica,Fiscal,Rural,Costa,18,499
2023-2024 Inicio,SANTO DOMINGO DE LOS TSACHILAS,SANTO DOMINGO,LUZ DE AMERICA,Ordinario,Educación General Básica,Fiscal,Rural,Costa,1,37
2023-2024 Inicio,LOJA,CALVAS,SAN VICENTE,Ordinario,Educación General Básica,Fiscomisional,Urbana,Costa,1,5
2023-2024 Inicio,COTOPAXI,SIGCHOS,SIGCHOS,Ordinario,Educación General Básica,Fiscal,Urbana,Sierra,1,13
2023-2024 Inicio,LOJA,GONZANAMA,CHANGAIMINA (LA LIBERTAD),Ordinario,Educación General Básica,Fiscal,Rural,Costa,1,8
2023-2024 Inicio,LOJA,ESPINDOLA,27 DE ABRIL (CAB. EN LA NARANJA),Ordinario,Educación General Básica,Fiscal,Rural,Costa,1,15
2023-2024 Inicio,AZUAY,GIRON,GIRON,Ordinario,Educación General Básica,Fiscal,Urbana,Sierra,2,24
2023-2024 Inicio,ZAMORA CHINCHIPE,CHINCHIPE,ZUMBA,Ordinario,Educación General Básica,Fiscal,Urbana,Sierra,1,10
2023-2024 Inicio,GUAYAS,NARANJITO,NARANJITO,Ordinario,Educación General Básica,Fiscal,Urbana,Costa,1,20
2023-2024 Inicio,LOJA,LOJA,CHUQUIRIBAMBA,Ordinario,Educación General Básica,Fiscal,Rural,Sierra,1,5
2023-2024 Inicio,BOLIVAR,CHIMBO,TELIMBELA,Ordinario,Educación Inicial y Educación General Básica,Fiscal,Rural,Costa,1,7
2023-2024 Inicio,GUAYAS,COLIMES,SAN JACINTO,Ordinario,Educación General Básica,Fiscal,Rural,Costa,2,54
2023-2024 Inicio,GUAYAS,EL EMPALME,GUAYAS (PUEBLO NUEVO),Ordinario,Educación General Básica,Fiscal,Rural,Costa,1,11
2023-2024 Inicio,GUAYAS,MILAGRO,ERNESTO SEMINARIO,Ordinario,Educación General Básica,Fiscal,Urbana,Costa,2,44
2023-2024 Inicio,GUAYAS,PEDRO CARBO,VALLE DE LA VIRGEN,Ordinario,Educación General Básica,Fiscal,Rural,Costa,2,38
2023-2024 Inicio,GUAYAS,SAN JACINTO DE YAGUACHI,SAN JACINTO DE YAGUACHI,Ordinario,Educación General Básica,Fiscal,Urbana,Costa,32,856
2023-2024 Inicio,LOJA,SOZORANGA,TACAMOROS,Ordinario,Educación General Básica,Fiscal,Rural,Costa,1,4
2023-2024 Inicio,LOS RIOS,QUEVEDO,SAN CRISTOBAL,Ordinario,Educación General Básica,Fiscal,Urbana,Costa,2,44
2023-2024 Inicio,MANABI,CHONE,RICAURTE,Ordinario,Educación General Básica,Fiscal,Rural,Costa,1,6
2023-2024 Inicio,MANABI,JIPIJAPA,PEDRO PABLO GOMEZ,Ordinario,Educación General Básica,Fiscal,Rural,Costa,1,25
2023-2024 Inicio,MANABI,JUNIN,JUNIN,Ordinario,Educación General Básica,Fiscal,Urbana,Costa,1,7
2023-2024 Inicio,MANABI,PEDERNALES,COJIMIES,Ordinario,Educación General Básica,Fiscal,Rural,Costa,1,25
2023-2024 Inicio,SANTO DOMINGO DE LOS TSACHILAS,SANTO DOMINGO,LUZ DE AMERICA,Ordinario,Educación General Básica,Fiscal,Rural,Costa,1,36
2023-2024 Inicio,SANTA ELENA,SANTA ELENA,CHANDUY,Ordinario,Educación Inicial y Educación General Básica,Fiscal,Rural,Costa,28,629
2023-2024 Inicio,GUAYAS,SANTA LUCIA,SANTA LUCIA,Ordinario,Educación General Básica,Fiscal,Urbana,Costa,3,71
2023-2024 Inicio,GUAYAS,SALITRE,GENERAL VERNAZA (DOS ESTEROS),Ordinario,Educación General Básica,Fiscal,Rural,Costa,1,26
2023-2024 Inicio,AZUAY,GIRON,LA ASUNCION,Ordinario,Educación General Básica,Fiscal,Rural,Costa,1,7
2023-2024 Inicio,MANABI,PEDERNALES,COJIMIES,Ordinario,Educación General Básica,Fiscal,Rural,Costa,2,63
2023-2024 Inicio,SANTO DOMINGO DE LOS TSACHILAS,SANTO DOMINGO,EL ESFUERZO,Ordinario,Educación General Básica,Fiscal,Rural,Costa,1,24
2023-2024 Inicio,AZUAY,SIGSIG,SIGSIG,Ordinario,Educación General Básica,Fiscal,Urbana,Sierra,1,9
2023-2024 Inicio,CAÑAR,CAÑAR,HONORATO VASQUEZ (TAMBO VIEJO),Ordinario,Educación General Básica,Fiscal,Rural,Sierra,1,8
2023-2024 Inicio,AZUAY,PAUTE,TOMEBAMBA,Ordinario,Educación Inicial y Educación General Básica,Fiscal,Rural,Sierra,9,120
2023-2024 Inicio,LOJA,OLMEDO,LA TINGUE,Ordinario,Educación General Básica,Fiscal,Rural,Costa,1,25
2023-2024 Inicio,CHIMBORAZO,CUMANDA,CUMANDA,Ordinario,Educación Inicial y Educación General Básica,Fiscal,Urbana,Costa,2,34
2023-2024 Inicio,GUAYAS,NARANJAL,JESUS MARIA,Ordinario,Educación Inicial y Educación General Básica,Fiscal,Rural,Costa,1,21
2023-2024 Inicio,LOJA,PINDAL,12 DE DICIEMBRE (CAB. EN ACHIOTES),Ordinario,Educación General Básica,Fiscal,Rural,Costa,1,18
2023-2024 Inicio,LOS RIOS,VINCES,VINCES CENTRAL,Ordinario,Educación General Básica,Fiscal,Urbana,Costa,1,30
2023-2024 Inicio,LOS RIOS,MOCACHE,MOCACHE,Ordinario,Educación General Básica,Fiscal,Urbana,Costa,1,15
2023-2024 Inicio,AZUAY,CUENCA,QUINGEO,Ordinario,Educación Inicial y Educación General Básica,Fiscal,Rural,Sierra,3,50
2023-2024 Inicio,AZUAY,CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,Ordinario,Educación General Básica,Fiscal,Urbana,Costa,1,18
2023-2024 Inicio,GUAYAS,SANTA LUCIA,SANTA LUCIA,Ordinario,Educación General Básica,Fiscal,Urbana,Costa,1,16
2023-2024 Inicio,GUAYAS,SALITRE,CANDILEJOS,Ordinario,Educación General Básica,Fiscal,Urbana,Costa,1,24
2023-2024 Inicio,GUAYAS,EL TRIUNFO,EL TRIUNFO,Ordinario,Educación Inicial y Educación General Básica,Fiscal,Urbana,Costa,18,464
2023-2024 Inicio,LOS RIOS,BABAHOYO,CARACOL,Ordinario,Educación General Básica,Fiscal,Rural,Costa,2,45
2023-2024 Inicio,SANTO DOMINGO DE LOS TSACHILAS,SANTO DOMINGO,ALLURIQUIN,Ordinario,Educación General Básica,Fiscal,Rural,Costa,1,2
2023-2024 Inicio,SANTO DOMINGO DE LOS TSACHILAS,SANTO DOMINGO,LUZ DE AMERICA,Ordinario,Educación General Básica,Fiscal,Rural,Costa,1,10
2023-2024 Inicio,LOJA,PALTAS,CANGONAMA,Ordinario,Educación General Básica,Fiscal,Rural,Costa,1,7
2023-2024 Inicio,CAÑAR,CAÑAR,INGAPIRCA,Ordinario,Educación General Básica,Fiscal,Rural,Sierra,1,8
2023-2024 Inicio,GUAYAS,COLIMES,SAN JACINTO,Ordinario,Educación General Básica,Fiscal,Rural,Costa,2,34
2023-2024 Inicio,LOJA,PALTAS,CATACOCHA,Ordinario,Educación General Básica,Fiscal,Urbana,Costa,1,13
2023-2024 Inicio,COTOPAXI,SIGCHOS,CHUGCHILLAN,Ordinario,Educación General Básica,Fiscal,Rural,Sierra,2,21
2023-2024 Inicio,GUAYAS,GUAYAQUIL,FEBRES CORDERO,Ordinario,Educación General Básica,Particular,Urbana,Costa,8,115
2023-2024 Inicio,GUAYAS,DAULE,JUAN BAUTISTA AGUIRRE (LOS TINTOS),Ordinario,Educación General Básica,Fiscal,Rural,Costa,2,47
2023-2024 Inicio,SANTO DOMINGO DE LOS TSACHILAS,SANTO DOMINGO,SAN JACINTO DEL BUA,Ordinario,Educación General Básica,Fiscal,Rural,Costa,1,20
2023-2024 Inicio,SANTA ELENA,SALINAS,JOSE LUIS TAMAYO (MUEY),Ordinario,Educación Inicial y Educación General Básica,Particular,Rural,Costa,11,158
2023-2024 Inicio,LOJA,GONZANAMA,CHANGAIMINA (LA LIBERTAD),Ordinario,Educación General Básica,Fiscomisional,Rural,Costa,1,9
2023-2024 Inicio,LOS RIOS,VINCES,ANTONIO SOTOMAYOR (CAB. EN PLAYAS DE VINCES),Ordinario,Educación Inicial y Educación General Básica,Fiscal,Rural,Costa,20,507
2023-2024 Inicio,PICHINCHA,PUERTO QUITO,PUERTO QUITO,Ordinario,Educación General Básica,Fiscal,Urbana,Costa,1,9
2023-2024 Inicio,COTOPAXI,SALCEDO,MULALILLO,Ordinario,Educación General Básica,Fiscal,Rural,Sierra,2,34
2023-2024 Inicio,LOJA,CELICA,CRUZPAMBA (CAB EN CARLOS BUSTAMANTE),Ordinario,Educación General Básica,Fiscal,Rural,Costa,1,15
2023-2024 Inicio,MORONA SANTIAGO,SUCUA,SUCUA,Ordinario,Educación Inicial y Educación General Básica,Fiscal,Urbana,Sierra,30,711
2023-2024 Inicio,COTOPAXI,LATACUNGA,11 DE NOVIEMBRE (ILINCHISI),Ordinario,Educación General Básica,Fiscal,Rural,Sierra,4,66
2023-2024 Inicio,GUAYAS,EL EMPALME,GUAYAS (PUEBLO NUEVO),Ordinario,Educación General Básica,Fiscal,Rural,Costa,1,24
2023-2024 Inicio,TUNGURAHUA,AMBATO,SANTA ROSA,Ordinario,Educación Inicial y Educación General Básica,Fiscal,Rural,Sierra,14,254
2023-2024 Inicio,LOJA,ZAPOTILLO,LIMONES,Ordinario,Educación General Básica,Fiscal,Rural,Costa,1,5
2023-2024 Inicio,CHIMBORAZO,ALAUSI,PISTISHI (NARIZ DEL DIABLO),Ordinario,Educación Inicial y Educación General Básica,Fiscal,Rural,Sierra,3,32
2023-2024 Inicio,COTOPAXI,PUJILI,TINGO,Ordinario,Educación Inicial y Educación General Básica,Fiscal,Rural,Costa,9,156
2023-2024 Inicio,CARCHI,BOLIVAR,GARCIA MORENO,Ordinario,Educación General Básica,Fiscal,Rural,Sierra,1,8
2023-2024 Inicio,EL ORO,ARENILLAS,ARENILLAS,Ordinario,Educación General Básica,Fiscal,Urbana,Costa,1,15
2023-2024 Inicio,LOJA,PUYANGO,EL LIMO (MARIANA DE JESUS),Ordinario,Educación General Básica,Fiscal,Rural,Costa,1,7
2023-2024 Inicio,MANABI,JAMA,JAMA,Ordinario,Educación General Básica,Fiscal,Urbana,Costa,1,17
2023-2024 Inicio,LOS RIOS,BABAHOYO,FEBRES CORDERO (LAS JUNTAS),Ordinario,Educación General Básica,Fiscal,Rural,Costa,15,372
2023-2024 Inicio,LOS RIOS,VENTANAS,ZAPOTAL,Ordinario,Educación General Básica,Fiscal,Rural,Costa,1,18
2023-2024 Inicio,GUAYAS,CORONEL MARCELINO MARIDUEÑA,CORONEL MARCELINO MARIDUEÑA (SAN CARLOS),Ordinario,Educación Inicial y Educación General Básica,Fiscal,Urbana,Costa,9,145
2023-2024 Inicio,MANABI,PEDERNALES,DIEZ DE AGOSTO,Ordinario,Educación General Básica,Fiscal,Rural,Costa,6,84
2023-2024 Inicio,MANABI,CHONE,RICAURTE,Ordinario,Educación General Básica,Fiscal,Rural,Costa,1,11
2023-2024 Inicio,MANABI,CHONE,CANUTO,Ordinario,Educación General Básica,Fiscal,Rural,Costa,2,16
2023-2024 Inicio,COTOPAXI,SIGCHOS,PALO QUEMADO,Ordinario,Educación General Básica,Fiscal,Rural,Costa,1,21
2023-2024 Inicio,COTOPAXI,SIGCHOS,SIGCHOS,Ordinario,Educación General Básica,Fiscal,Urbana,Sierra,1,4
2023-2024 Inicio,LOJA,ZAPOTILLO,PALETILLAS,Ordinario,Educación General Básica,Fiscal,Rural,Costa,1,20
2023-2024 Inicio,GUAYAS,NARANJAL,TAURA,Ordinario,Educación Inicial y Educación General Básica,Fiscal,Rural,Costa,10,303
2023-2024 Inicio,AZUAY,CUENCA,MOLLETURO,Ordinario,Educación General Básica,Fiscal,Rural,Sierra,2,13
2023-2024 Inicio,BOLIVAR,CHIMBO,SAN JOSE DE CHIMBO,Ordinario,Educación General Básica,Fiscal,Urbana,Sierra,1,9
2023-2024 Inicio,LOJA,CATAMAYO,ZAMBI,Ordinario,Educación General Básica,Fiscal,Rural,Costa,1,12
2023-2024 Inicio,LOJA,ESPINDOLA,AMALUZA,Ordinario,Educación General Básica,Fiscal,Urbana,Costa,1,10
2023-2024 Inicio,CAÑAR,CAÑAR,INGAPIRCA,Ordinario,Educación Inicial y Educación General Básica,Fiscal,Rural,Sierra,12,185
2023-2024 Inicio,GUAYAS,GUAYAQUIL,FEBRES CORDERO,Ordinario,Educación General Básica,Fiscal,Urbana,Costa,7,191
2023-2024 Inicio,LOS RIOS,VENTANAS,ZAPOTAL,Ordinario,Educación General Básica,Fiscal,Rural,Costa,3,65
2023-2024 Inicio,LOS RIOS,PALENQUE,PALENQUE,Ordinario,Educación General Básica,Fiscal,Urbana,Costa,1,4
2023-2024 Inicio,LOS RIOS,BUENA FE,SAN JACINTO DE BUENA FE,Ordinario,Educación Inicial y Educación General Básica,Fiscal,Urbana,Costa,8,267
2023-2024 Inicio,TUNGURAHUA,SAN PEDRO DE PELILEO,EL ROSARIO (RUMICHACA),Ordinario,Educación Inicial y Educación General Básica,Fiscal,Rural,Sierra,11,155
2023-2024 Inicio,GUAYAS,NARANJAL,SAN CARLOS,Ordinario,Educación Inicial y Educación General Básica,Fiscal,Rural,Costa,7,179
2023-2024 Inicio,EL ORO,SANTA ROSA,BELLAVISTA,Ordinario,Educación Inicial y Educación General Básica,Fiscal,Rural,Costa,5,99
2023-2024 Inicio,GUAYAS,SALITRE,JUNQUILLAL,Ordinario,Educación General Básica,Fiscal,Rural,Costa,1,20
2023-2024 Inicio,PICHINCHA,QUITO,ITCHIMBIA,Ordinario,Educación General Básica,Fiscal,Urbana,Sierra,7,109
2023-2024 Inicio,PICHINCHA,SAN MIGUEL DE LOS BANCOS,SAN MIGUEL DE LOS BANCOS,Ordinario,Educación General Básica,Fiscal,Urbana,Costa,1,8
2023-2024 Inicio,LOJA,LOJA,SAN LUCAS,Ordinario,Educación General Básica,Fiscal,Rural,Sierra,1,15
2023-2024 Inicio,ESMERALDAS,MUISNE,SAN GREGORIO,Ordinario,"Educación Inicial, Educación General Básica y Ofertas Intensivas",Fiscal,Rural,Costa,10,222
2023-2024 Inicio,GUAYAS,PEDRO CARBO,PEDRO CARBO,Ordinario,Educación General Básica,Fiscal,Urbana,Costa,1,18
2023-2024 Inicio,GUAYAS,EL EMPALME,VELASCO IBARRA (CAB. EL EMPALME),Ordinario,Educación General Básica,Fiscal,Urbana,Costa,7,120
2023-2024 Inicio,LOJA,ESPINDOLA,EL INGENIO,Ordinario,Educación General Básica,Fiscal,Rural,Costa,1,4
2023-2024 Inicio,LOJA,PUYANGO,ALAMOR,Ordinario,Educación General Básica,Fiscal,Urbana,Costa,1,4
2023-2024 Inicio,LOS RIOS,BABA,GUARE,Ordinario,Educación Inicial y Educación General Básica,Fiscal,Rural,Costa,6,136
2023-2024 Inicio,COTOPAXI,SIGCHOS,SIGCHOS,Ordinario,Educación General Básica,Fiscal,Urbana,Sierra,1,1
2023-2024 Inicio,TUNGURAHUA,BAÑOS DE AGUA SANTA,RIO NEGRO,Ordinario,Educación Inicial y Educación General Básica,Fiscal,Rural,Sierra,3,46
2023-2024 Inicio,EL ORO,SANTA ROSA,JAMBELI,Ordinario,Educación General Básica,Fiscal,Rural,Costa,1,25
2023-2024 Inicio,GUAYAS,BALZAR,BALZAR,Ordinario,Educación General Básica,Fiscal,Urbana,Costa,1,38
2023-2024 Inicio,AZUAY,CUENCA,VICTORIA DEL PORTETE (IRQUIS),Ordinario,Educación General Básica,Fiscal,Rural,Sierra,1,22
2023-2024 Inicio,AZUAY,CHORDELEG,LA UNION,Ordinario,Educación Inicial y Educación General Básica,Fiscal,Rural,Sierra,13,183
2023-2024 Inicio,SANTA ELENA,SANTA ELENA,COLONCHE,Ordinario,Educación Inicial y Educación General Básica,Fiscal,Rural,Costa,18,435
2023-2024 Inicio,PICHINCHA,QUITO,TUMBACO,Ordinario,Educación Inicial y Educación General Básica,Fiscal,Rural,Sierra,11,137
2023-2024 Inicio,COTOPAXI,PUJILI,ZUMBAHUA,Ordinario,Educación General Básica,Fiscal,Rural,Sierra,3,31
2023-2024 Inicio,CAÑAR,CAÑAR,ZHUD,Ordinario,Educación General Básica,Fiscal,Rural,Costa,1,6
2023-2024 Inicio,LOJA,CELICA,CELICA,Ordinario,Educación General Básica,Fiscal,Urbana,Costa,1,5
2023-2024 Inicio,AZUAY,SANTA ISABEL,SANTA ISABEL (CHAGUARURCO),Ordinario,Educación General Básica,Fiscal,Urbana,Costa,1,7
2023-2024 Inicio,AZUAY,CUENCA,TURI,Ordinario,Educación Inicial y Educación General Básica,Fiscal,Rural,Sierra,15,225
2023-2024 Inicio,EL ORO,PASAJE,BUENAVISTA,Ordinario,Educación Inicial y Educación General Básica,Fiscal,Rural,Costa,20,383
2023-2024 Inicio,EL ORO,ARENILLAS,PALMALES,Ordinario,Educación General Básica,Fiscal,Rural,Costa,1,14
2023-2024 Inicio,GUAYAS,DAULE,DAULE,Ordinario,Educación General Básica,Fiscal,Urbana,Costa,2,52
2023-2024 Inicio,GUAYAS,EL EMPALME,GUAYAS (PUEBLO NUEVO),Ordinario,Educación General Básica,Fiscal,Rural,Costa,1,14
2023-2024 Inicio,BOLIVAR,LAS NAVES,LAS NAVES,Ordinario,Educación General Básica,Fiscal,Urbana,Costa,1,5
2023-2024 Inicio,GUAYAS,ALFREDO BAQUERIZO MORENO,ALFREDO BAQUERIZO MORENO (JUJAN),Ordinario,Educación Inicial y Educación General Básica,Fiscal,Urbana,Costa,33,833
2023-2024 Inicio,LOS RIOS,BABAHOYO,DOCTOR CAMILO PONCE,Ordinario,Educación Inicial y Educación General Básica,Fiscal,Urbana,Costa,62,1351
2023-2024 Inicio,GUAYAS,GUAYAQUIL,FEBRES CORDERO,Ordinario,Educación General Básica,Fiscal,Urbana,Costa,16,507
2023-2024 Inicio,LOS RIOS,PALENQUE,PALENQUE,Ordinario,Educación General Básica,Fiscal,Urbana,Costa,1,19
2023-2024 Inicio,BOLIVAR,SAN MIGUEL,BALSAPAMBA,Ordinario,Educación General Básica,Fiscal,Rural,Costa,1,6
2023-2024 Inicio,LOJA,ESPINDOLA,27 DE ABRIL (CAB. EN LA NARANJA),Ordinario,Educación Inicial y Educación General Básica,Fiscal,Rural,Costa,9,128
2023-2024 Inicio,COTOPAXI,LA MANA,EL TRIUNFO,Ordinario,Educación Inicial y Educación General Básica,Fiscal,Urbana,Costa,4,82
2023-2024 Inicio,SUCUMBIOS,PUTUMAYO,SANTA ELENA,Ordinario,Educación General Básica,Fiscal,Rural,Sierra,2,35
2023-2024 Inicio,LOJA,LOJA,JIMBILLA,Ordinario,Educación General Básica,Fiscal,Rural,Sierra,1,11
2023-2024 Inicio,LOS RIOS,URDANETA,RICAURTE,Ordinario,Educación General Básica,Fiscal,Rural,Costa,1,23
2023-2024 Inicio,LOS RIOS,VINCES,VINCES CENTRAL,Ordinario,Educación Inicial y Educación General Básica,Fiscal,Urbana,Costa,12,316
2023-2024 Inicio,MANABI,CHONE,ELOY ALFARO,Ordinario,Educación General Básica,Fiscal,Rural,Costa,1,16
2023-2024 Inicio,SANTA ELENA,SANTA ELENA,BALLENITA,Ordinario,Educación Inicial y Educación General Básica,Fiscal,Urbana,Costa,11,297
2023-2024 Inicio,LOS RIOS,VINCES,VINCES CENTRAL,Ordinario,Educación General Básica,Fiscal,Urbana,Costa,2,44
2023-2024 Inicio,GUAYAS,PALESTINA,PALESTINA,Ordinario,Educación General Básica,Fiscal,Urbana,Costa,2,26
2023-2024 Inicio,AZUAY,PAUTE,TOMEBAMBA,Ordinario,Educación General Básica,Fiscal,Rural,Sierra,2,35
2023-2024 Inicio,GUAYAS,NARANJITO,NARANJITO,Ordinario,Educación Inicial y Educación General Básica,Fiscal,Urbana,Costa,5,91
2023-2024 Inicio,GUAYAS,PEDRO CARBO,PEDRO CARBO,Ordinario,Educación General Básica,Fiscal,Urbana,Costa,2,37
2023-2024 Inicio,MORONA SANTIAGO,LIMON INDANZA,SAN ANTONIO (CAB EN SAN ANTONIO CENTRO),Ordinario,Educación General Básica,Fiscal,Rural,Sierra,1,7
2023-2024 Inicio,LOS RIOS,QUINSALOMA,QUINSALOMA,Ordinario,Educación Inicial y Educación General Básica,Fiscal,Urbana,Costa,2,34
2023-2024 Inicio,CAÑAR,BIBLIAN,BIBLIAN,Ordinario,Educación Inicial y Educación General Básica,Fiscal,Urbana,Sierra,2,25
2023-2024 Inicio,LOJA,ZAPOTILLO,MANGAHURCO,Ordinario,Educación Inicial y Educación General Básica,Fiscal,Rural,Costa,3,41
2023-2024 Inicio,LOS RIOS,QUINSALOMA,QUINSALOMA,Ordinario,Educación General Básica,Fiscal,Urbana,Costa,1,17
2023-2024 Inicio,LOJA,MACARA,LARAMA,Ordinario,Educación General Básica,Fiscal,Rural,Costa,1,17
2023-2024 Inicio,PICHINCHA,QUITO,AMAGUAÑA,Ordinario,Educación Inicial y Educación General Básica,Fiscal,Rural,Sierra,24,439
